fileName,columnName,columnValue,desc
variables,variableType,Categorical,Categorical type
variables,variableType,Continuous,Continuous type
variable-details,typeEnd,cat,Categorical type
variable-details,typeEnd,cont,Continuous type
variable-details,typeStart,cat,Categorical type
variable-details,typeStart,cont,Continuous type
variable-details,typeStart,N/A,Used mainly for derived variables when there are many start variables
model-export,fileType,variables,A variables file
model-export,fileType,variable-details,A variable details file
model-export,fileType,descriptive-statistics,A descriptive lookup file
model-export,fileType,descriptive-bins,A descriptive bins file
model-export,fileType,model-export,A model export file
model-export,fileType,model-steps,A model steps
model-export,fileType,dummy,A dummy file
model-export,fileType,center,A centering file
model-export,fileType,rcs,An RCS file
model-export,fileType,interaction,An interaction file
model-export,fileType,fine-and-gray,A fine and gray file
model-export,fileType,cox,A cox file
model-export,fileType,survival-bins,File with survival data for the different bins
model-export,fileType,bins-lookup,Contains the range of score values for each biin in a survival algorithm
model-export,fileType,validate,Contains the validation rules for variables in the algorithm
model-steps,step,dummy,Step used to create dummy variables
model-steps,step,center,Step used to create centered variables
model-steps,step,rcs,Steps used to create spline terms
model-steps,step,interaction,Step used to create interaction terms
model-steps,step,fine-and-gray,Step used to calculate the outcome of a fine and gray model
model-steps,step,cox,Step used to calculate the outcome of a cox proportional hazards model
model-steps,fileType,N/A,Missing since certain steps don't need to specify the file type
model-steps,fileType,beta-coefficients,A beta coefficients file for a fine and gray model or a cox model
model-steps,fileType,baseline-hazards,The baseline hazards for a fine and gray model or a cox model
interaction,interactionVariableType,cat,Categorical type
interaction,interactionVariableType,cont,Continuous type
validate,rule,type,Validate the data type of the variable
validate,rule,range,Validate that the variable is within a range of values. Meant for continuous variables.
validate,rule,allowed,Validate that the variable contains a value from a set of valid values. Meant for categorical variables.
validate,rule,nullable,Whether missing values are allowed for a variable
validate,errorHandle,error,"Failed validations for the variable should throw an error, stopping the scoring process"
validate,errorHandle,warning,Failed validations for the variable should log a warning and continue the scoring process
validate,errorHandle,truncate,"Failed validations for the variable should log a warning, truncate the failed variable value, and continue scoring process"
beta-coefficients,type,cat,Categorical type
beta-coefficients,type,cont,Continuous type
