fileName,columnName,columnValue,desc
variables,variableType,Categorical,Categorical type
variables,variableType,Continuous,Continuous type
variable-details,typeEnd,cat,Categorical type
variable-details,typeEnd,cont,Continuous type
variable-details,typeStart,cat,Categorical type
variable-details,typeStart,cont,Continuous type
model-export,fileType,variables,A variables file
model-export,fileType,variable-details,A variable details file
model-export,fileType,descriptive-lookup,A descriptive lookup file
model-export,fileType,descriptive-bins,A descriptive bins file
model-export,fileType,model-export,A model export file
model-export,fileType,model-steps,A model steps
model-export,fileType,dummy,A dummy file
model-export,fileType,center,A centering file
model-export,fileType,rcs,An RCS file
model-export,fileType,interaction,An interaction file
model-export,fileType,fine-and-gray,A fine and gray file
model-export,fileType,cox,A cox file
model-steps,step,dummy,Step used to create dummy variables
model-steps,step,center,Step used to create centered variables
model-steps,step,rcs,Steps used to create spline terms
model-steps,step,interaction,Step used to create interaction terms
model-steps,step,fine-and-gray,Step used to calculate the outcome of a fine and gray model
model-steps,step,cox,Step used to calculate the outcome of a cox proportional hazards model
model-steps,fileType,,Empty since certain steps don't need to specify the file type
model-steps,fileType,beta-coefficients,A beta coefficients file for a fine and gray model or a cox model
model-steps,fileType,baseline-hazards,The baseline hazards for a fine and gray model or a cox model
