metadataItem,metadataLocation
metadata,description.yml
modelName,description.yml
modelDescription,description.yml
stratified,description.yml
modelType,description.yml 
maxTime,description.yml
timeMetric,description.csv; baseline-risk.csv
author,description.yml
ocrid,description.yml
copyright,description.yml
licence,description.yml 
outcome,description.yml
dateCreated,description.yml
startData,description.yml 
variable,variables.csv; variable-details.csv; rcs.csv; center.csv; model.csv; missing-outlier-treatment.csv
label,variables.csv
labelLong,variables.csv
section,variables.csv
subject,variables.csv
typeEnd,variables.csv
units,variables.csv; variable-details.csv
reference (INCLUDE? NOT IN CURRENT CSV TEMPLATE),variables.csv
center (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
spline (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
min (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
max (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
mean (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
stdDev (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
median (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
q1 (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
q3 (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
interaction (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
interactionIndex (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
dummy (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
impute (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
invalid (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
log (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
outlierMax (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
outlierMin (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
recommended (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
required (INCLUDE? DISCREPANCY B/W DOUG and YULRIC),variables.csv
notes,variables.csv; variable-details.csv; model-steps.csv
dummyVariable,variable-details.csv
numValidCat,variable-details.csv
catLabel,variable-details.csv
catLabelLong,variable-details.csv
catValue,variable-details.csv
variableType,variable-details.csv
interval,variable-details.csv
rcsVariables,rcs.csv
knots,rcs.csv
centerVariable,center.csv
centerValue,center.csv
baselineTime,baseline-risk.csv
baselineHazard,baseline-risk.csv
coefficient,model.csv
step,model-steps.csv
fileName,model-steps.csv; missing-outlier-treatment.csv
interactingVariables,interactions.csv
interactionVariable,interactions.csv
outlierTreatment,missing-outlier-treatment.csv
missingTreatment,missing-outlier-treatment.csv
