variable,dummyVariable,numValidCat,catLabel,catLabelLong,catValue,units, variableType,interval,notes
Sex,Sexmale_cat,4,Male,Male,1,NA,cat,NA,
Sex,Sexfemale_cat,4,Female,Male,2,NA,cat,NA,
Sex,SexNAA,4,Missing,Missing - no response,NA:a,NA,cat,NA,
Sex,SexNAB,4,Missing ,Missing - not asked,NA:b,NA,cat,NA,
Age_cont,NA,NA,NA,NA,NA,years,cont,"[55,100]",
Edu4,EduLessHS2_cat,5,Less than secondary school,Less than secondary school,1,NA,cat,NA,
Edu4,EduHSGrad2_cat,5,Secondary school graduation,Secondary school graduation,2,NA,cat,NA,
Edu4,EduSomePS2_cat,5,Some postsecondary,Some postsecondary,3,NA,cat,NA,
Edu4,EduPSGrad2_cat,5,Postsecondary graduation,Postsecondary graduation,4,NA,cat,NA,
EDu4,EduMissing_cat,5,Mising,Missing,NA,NA,cat,NA,
Age_cat_5,Age55to64,5,55 - 64,55 to 64 years,,years,cat,"[55,64)",
Age_cat_5,Age65to74,5,65 - 74,65 to 74 years,,years,cat,"[65,74)",
Age_cat_5,Age75to84,5,75 - 84,75 to 84 years,,years,cat,"[75,84)",
Age_cat_5,Age85to94,5,85 - 94,85 to 94 years,,years,cat,"[85,94)",
Age_cat_5,Age94to100,5,95 - 100,95 to 100 years,,years,cat,"[95,100]",
